,sr_no,client_name,industry,remarks,category,status,priority,set,manager,designer,fb_posting,insta_posting,birthday_wishes,status
0,1,AFCL Apple Delhi,Distributor,DONE,TELECOM,OK,A,0.0,ARCHNA,GURKARAN,NO,NO,NO,500
1,2,CSSR TRADERS,Distributor,DONE,TELECOM,OK,D,0.0,ARCHNA,GURKARAN,NO,NO,NO,LIST PENDING
2,3,Mobile Guru,Mobile Accessories,DONE,TELECOM,OK,C,0.0,POOJA,JAGRITI,NEHA,NEHA,NEELAM,
3,4,S Munjal Apple Haryana,Distributor,DONE,TELECOM,OK,B,0.0,ARCHNA,GURKARAN,NO,NO,NO,207
4,5,Sarvotam Telecare,Distributor,DONE,TELECOM,OK,B,0.0,ARCHNA,GURKARAN,NO,NO,NO,68
5,6,SUSAKI AGRO PVT LTD,INDUSTRY,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,,,,
6,8,24*7 SERVICES,LOAN,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,,,,
7,9,KARNAL GLOBAL ,LOAN,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,,,,
8,10,DEVI SINGH SONI,Politician,DONE,NON TELECOM,NEW,B,0.0,Deepika Bhatti,AMAN,,,,
9,11,SAGAR BAJAJ,Politician,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,,,,
10,12,RUBY SETHI,Politician,DONE,NON TELECOM,NEW,B,0.0,Deepika Bhatti,AMAN,,,,
11,13,TANDURI NIGHTS,Restaurant,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,AMAN,,,,
12,14,EVEY ELECTRIC,SCOOTER,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,,,,
13,16,TSE SOLAR,SOLAR ,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,,,,
14,17,UNIVERSAL ENTERPRISES,PRINT,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,AMAN,,,,
15,20,Arora Financial Services,Finance,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
16,21,Baljeet Design Studio,Garments,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
17,22,CHAAT CULTURE,Restaurant,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,,
18,23,Dr. Singh Dental Clinic,Dentist,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
19,24,MAKE MY APPARTMENT,Real Estate,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
20,25,FIRST CRY FATEHABAD,SCHOOL,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,,
21,26,Jai Ambay Food Industry,industry,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,AMAN,ANIRUDH,ANIRUDH,,
22,27,JINDAL BKO,Festival,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,AMAN,ANIRUDH,ANIRUDH,NO,
23,28,LITTLE WINGS SIRSA,SCHOOL,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,,
24,29,Namdev Sweets,Restaurant,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,,
25,30,Oraimo,Festival,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,AMAN,ANIRUDH,ANIRUDH,NO,
26,31,Pakeeza,Festival,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,AMAN,ANIRUDH,ANIRUDH,NEELAM,
27,33,Rajan Mehta,Politician,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,AMAN,ANIRUDH,ANIRUDH,NEELAM,
28,34,Raymond Hisar,Garments,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
29,37,Smart Tutorial,Festival,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
30,38,Sonepat Automobiles Pvt .Ltd,SOLAR,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,,
31,39,SPH Arema,industry,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,ANIRUDH,ANIRUDH,,
32,41,MEE BAKERS,BAKERY,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,AMAN,ANIRUDH,ANIRUDH,NO,
33,42,Vijaya Dairy & Sweets,Sweets,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,,
34,43,APPARLOGY,DRY CLEAN,DONE,NON TELECOM,OK,D,0.0,Deepika Bhatti,AMAN,ANIRUDH,ANIRUDH,,
35,44,Bulbul Oil Company,Oils,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,GAUTAM,
36,45,LAXMI ELECTRONICS,Telecom,DONE,TELECOM,OK,A,1.0,RIYA ARORA,KANIKA,NO,ANIRUDH,NO,
37,46,SIGMEN RADIO,Telecom,,TELECOM,OK,A,1.0,RIYA ARORA,KANIKA,RITU,ANIRUDH,NEELAM,
38,47,WADHWA MOBILE CARE,Telecom,,TELECOM,OK,A,1.0,RIYA ARORA,KANIKA,RITU,ANIRUDH,NEELAM,
39,404,NITIN COMMUNICATION,TELECOM,,TELECOM,,A,1.0,RIYA ARORA,KANIKA,,ANIRUDH,,
40,48,BALAJI COMMUNICATION,Telecom,,TELECOM,OK,A,2.0,RIYA ARORA,KANIKA,RITU,ANIRUDH,,
41,49,Credo Sales Delhi,Telecom,,TELECOM,OK,A,2.0,RIYA ARORA,KANIKA,RITU,ANIRUDH,GAUTAM,
42,50,Goyal Mobile Accessories,Telecom,,TELECOM,OK,A,2.0,RIYA ARORA,KANIKA,NEHA,ANIRUDH,GAUTAM,
43,51,Goel Telecom,Telecom,,TELECOM,OK,A,3.0,RIYA ARORA,KANIKA,RITU,ANIRUDH,NEELAM,
44,52,Shivam Communication,Telecom,,TELECOM,OK,A,3.0,RIYA ARORA,KANIKA,RITU,ANIRUDH,MUSKAN,
45,53,Shri Balaji Telecommunications,Telecom,,TELECOM,OK,A,3.0,RIYA ARORA,KANIKA,NEHA,ANIRUDH,NEELAM,
46,54,Kishan telecom,Telecom,,TELECOM,OK,A,4.0,RIYA ARORA,KANIKA,RITU,ANIRUDH,MUSKAN,
47,55,Narang Mobile Store,Telecom,,TELECOM,OK,A,4.0,RIYA ARORA,KANIKA,RITU,NO,GAUTAM,
48,56,Xtraaa Sales Faridabad,Telecom,,TELECOM,OK,A,4.0,RIYA ARORA,KANIKA,RITU,NO,MUSKAN,
49,57,Ankur Mobile Shoppee,Telecom,,TELECOM,OK,A,5.0,RIYA ARORA,KANIKA,RITU,NO,GAUTAM,
50,58,R K mobiles,Telecom,,TELECOM,OK,A,5.0,RIYA ARORA,KANIKA,RITU,NO,NO,
51,59,SPACE ELECTRONICS,Telecom,,TELECOM,OK,A,5.0,RIYA ARORA,KANIKA,NO,NO,NO,
52,60,Ahuja Telecom,Telecom,,TELECOM,OK,A,6.0,RIYA ARORA,KANIKA,RITU,RITU,NEELAM,
53,61,Mobile Gallary Delhi,Telecom,,TELECOM,OK,A,6.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM,
54,62,SHANKAR MOBILE BARMER,Telecom,,TELECOM,OK,A,6.0,RIYA ARORA,KANIKA,NO,NO,NO,
55,63,Garg Mobile Sonepat( AMAZING ),Telecom,,TELECOM,OK,A,7.0,RIYA ARORA,KANIKA,RITU,RITU,MUSKAN,
56,64,Shahrukh Telecom Dehradun,Telecom,,TELECOM,OK,A,7.0,RIYA ARORA,KANIKA,NEHA,NEHA,MUSKAN,
57,65,Wizard Digitech,Telecom,,TELECOM,OK,A,7.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM,
58,352,DIGITAL CAFÉ ,TELECOM,,TELECOM,OK,A,7.0,RIYA ARORA,KANIKA,,,,
59,66,999 Mobiles,Telecom,,TELECOM,OK,A,8.0,RIYA ARORA,KANIKA,RITU,NO,MUSKAN,
60,67,Cell World,Telecom,,TELECOM,OK,A,8.0,RIYA ARORA,KANIKA,RITU,RITU,MUSKAN,
61,68,PREM ENTERPRISES,TELECOM,,TELECOM,OK,A,8.0,RIYA ARORA,KANIKA,,,,
62,69,Adarsh Mobitronics,Telecom and Electronics,,TELECOM,OK,A,9.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM,
63,70,Mobile World Faridabad,Telecom and Electronics,,TELECOM,OK,A,9.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM (PASSWORD ISSUE),
64,71,Munjal Store,Telecom,,TELECOM,OK,A,9.0,RIYA ARORA,KANIKA,NO,RITU,NO,
65,72,Bansal Telecom Bahalgarh,Telecom,,TELECOM,OK,A,10.0,RIYA ARORA,KANIKA,,,,
66,73,Deep Mobilez,Telecom,,TELECOM,OK,A,10.0,RIYA ARORA,KANIKA,NO,NEHA,NEELAM,
67,424,SHRI SHYAM MOBILE CARE DEHRADUN,TELECOM,,TELECOM,,A,10.0,RIYA ARORA,KANIKA,,,,
68,74,Baljeet Telecom,Telecom and Electronics,,TELECOM,OK,A,11.0,RIYA ARORA,KANIKA,RITU,NO,MUSKAN,
69,75,Samdhyan Mobiles,Telecom,,TELECOM,OK,A,11.0,RIYA ARORA,KANIKA,NEHA,NEHA,NEELAM,
70,76,RAJLIWAL MOBILE ,Telecom,,TELECOM,OK,A,11.0,RIYA ARORA,KANIKA,,,,
71,77,SM Enterprises,Telecom,,TELECOM,OK,A,12.0,RIYA ARORA,KANIKA,NEHA,NEHA,NEELAM,
72,460,SADGURU ENETRPRISE,TELECOM,,TELECOM,,A,12.0,RIYA ARORA,KANIKA,,,,
73,420,HK TRADING COMPANY,Telecom and Electronics,,TELECOM,,A,12.0,RIYA ARORA,KANIKA,,,,
74,79,Mobile Studio,Telecom,,TELECOM,OK,A,13.0,RIYA ARORA,KANIKA,NO,NO,NO,
75,80,Raja Lifestyle  & Furniture ,Telecom,,TELECOM,OK,A,13.0,RIYA ARORA,KANIKA,,,,
76,81,MOBILE WORLD GAZIABAD,Telecom,,TELECOM,OK,A,13.0,RIYA ARORA,KANIKA,,,,
77,82,Kwality Telecom,Telecom,,TELECOM,OK,A,14.0,RIYA ARORA,KANIKA,,,,
78,83,Singh Enterprises,Telecom,,TELECOM,OK,A,14.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM,
79,84,TRIDEV ENTERPRISES,Telecom,,TELECOM,OK,A,14.0,RIYA ARORA,KANIKA,,,,
80,85,Balaji Mobile World ,Telecom,,TELECOM,OK,A,15.0,RIYA ARORA,KANIKA,NEHA,NEHA,NO,
81,86,Mobile.com ,Telecom,,TELECOM,OK,A,15.0,RIYA ARORA,KANIKA,NO,NO,NO,
82,87,Rankawat Mobiles,Telecom,,TELECOM,OK,A,15.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM,
83,88,Impression Gallery,Telecom,FINAL CALL,TELECOM,OK,B,16.0,RIYA ARORA,KANIKA,,,,
84,89,Shri Balaji Comm Electro world ,Telecom,,TELECOM,OK,B,16.0,RIYA ARORA,KANIKA,NO,NEHA,NO,
85,90,Suraj Buisness,Telecom,,TELECOM,OK,B,16.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM,
86,91,BG Om Mobiles,Telecom,,TELECOM,OK,B,17.0,RIYA ARORA,KANIKA,NO,NO,NO,
87,92,Mobile and Laptop Zone,Telecom,,TELECOM,OK,B,17.0,RIYA ARORA,KANIKA,NEHA,NEHA,NEELAM,
88,93,VISHNU MOBILE AND ELECTRONICS,Telecom,,TELECOM,OK,B,17.0,RIYA ARORA,KANIKA,,,,
89,94,Aadarsh Communication,Telecom,,TELECOM,OK,B,18.0,RIYA ARORA,KANIKA,RITU,NO,NO,
90,95,Bindra Electronics,Telecom and Electronics,FINAL CALL,TELECOM,OK,B,18.0,RIYA ARORA,KANIKA,NEHA,NEHA,NEELAM,
91,96,ELECTRONICS JUNCTION,Telecom and Electronics,,TELECOM,OK,B,18.0,RIYA ARORA,KANIKA,,,,
92,97,Chhabra Radio,Telecom and Electronics,,TELECOM,OK,B,19.0,RIYA ARORA,KANIKA,RITU,NO,GAUTAM,
93,98,Electronics World Gannour,Telecom and Electronics,,TELECOM,OK,B,19.0,RIYA ARORA,KANIKA,NEHA,NO,NEELAM,
94,99,Fancy Stationers,Telecom,,TELECOM,OK,B,19.0,RIYA ARORA,KANIKA,RITU,RITU,GAUTAM,
95,100,The Mobile Lounge ,Telecom,,TELECOM,OK,B,20.0,RIYA ARORA,KANIKA,,,,
96,101,Toshi,Telecom and Electronics,,TELECOM,OK,B,20.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM,
97,102,SINGLA ELECTRONICS,Telecom,,TELECOM,OK,B,20.0,RIYA ARORA,KANIKA,,,,
98,103,Fashion Gallary,Telecom,,TELECOM,OK,B,21.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM,
99,104,Sai Telecom,Telecom,,TELECOM,OK,B,21.0,RIYA ARORA,KANIKA,RITU,NO,NO,
100,105,SM Gadgets,Telecom and Electronics,,TELECOM,OK,B,21.0,RIYA ARORA,KANIKA,NO,NO,NO,
101,106,Kamal Mobile,Telecom and Electronics,,TELECOM,OK,B,22.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM,
102,107,Rajasthan Mobiles ,Telecom,,TELECOM,OK,B,22.0,RIYA ARORA,KANIKA,NO,RITU,NO,
103,108,SG Best Shoppe ,Telecom,,TELECOM,OK,B,22.0,RIYA ARORA,KANIKA,NO,NO,NO,
104,109,BSNL Shoppee,Telecom,,TELECOM,OK,B,23.0,RIYA ARORA,KANIKA,RITU,NO,MUSKAN,
